document_idx,topic,probability,date,macro_theme
390,-1,0.0,2022-01-06 18:00:00,NFTs and Digital Collectibles
391,0,0.9336777289890792,2022-01-06 20:00:00,Technology and Innovation
392,0,0.9957367508066666,2022-01-07 00:00:00,Market and Financial Services
393,0,1.0,2022-01-07 05:16:00,Market and Financial Services
394,2,1.0,2022-01-07 08:40:00,Legal and Regulatory Affairs
395,0,1.0,2022-01-07 10:22:00,NFTs and Digital Collectibles
396,0,0.8180905150917557,2022-01-07 11:39:00,Technology and Innovation
397,0,0.926105994948669,2022-01-07 12:10:00,Technology and Innovation
398,0,0.7553135897713064,2022-01-07 13:59:00,Governance and Organizations
399,0,1.0,2022-01-07 14:59:00,Technology and Innovation
400,-1,0.0,2022-01-07 15:14:00,Market and Financial Services
401,0,1.0,2022-01-07 16:20:00,Technology and Innovation
402,-1,0.0,2022-01-07 17:05:00,Market and Financial Services
403,0,0.8377322087542899,2022-01-08 01:00:00,Market and Financial Services
404,0,1.0,2022-01-10 04:43:00,Market and Financial Services
405,0,1.0,2022-01-10 08:53:00,Security and Fraud
406,-1,0.0,2022-01-10 10:08:00,Technology and Innovation
407,-1,0.0,2022-01-10 11:08:00,Market and Financial Services
408,0,0.9033378028307084,2022-01-10 12:17:00,Technology and Innovation
409,-1,0.0,2022-01-10 13:42:00,Market and Financial Services
410,0,0.7815251067972692,2022-01-10 14:22:00,Technology and Innovation
411,-1,0.0,2022-01-10 14:44:00,Market and Financial Services
412,-1,0.0,2022-01-10 15:44:00,Market and Financial Services
413,0,1.0,2022-01-10 16:27:00,Technology and Innovation
414,0,1.0,2022-01-10 17:51:00,NFTs and Digital Collectibles
415,-1,0.0,2022-01-10 19:00:00,Market and Financial Services
416,0,1.0,2022-01-10 21:00:00,NFTs and Digital Collectibles
417,0,1.0,2022-01-11 00:00:00,Market and Financial Services
418,2,0.9111899827225448,2022-01-11 01:00:00,NFTs and Digital Collectibles
419,0,1.0,2022-01-11 04:47:00,Market and Financial Services
